,Length,AT,DA,SA,SRCE,DSTI
5288,1468,2020-05-15 13:25:37.131310+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5289,147,2020-05-15 13:25:37.131320+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5290,383,2020-05-15 13:25:37.137819+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5291,146,2020-05-15 13:25:37.143383+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5292,1560,2020-05-15 13:25:37.143974+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5293,1560,2020-05-15 13:25:37.144131+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5294,181,2020-05-15 13:25:37.144137+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5295,1560,2020-05-15 13:25:37.147186+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5296,1560,2020-05-15 13:25:37.147398+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5297,181,2020-05-15 13:25:37.147407+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5298,798,2020-05-15 13:25:37.150885+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5299,146,2020-05-15 13:25:37.151189+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5300,146,2020-05-15 13:25:37.151489+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5301,142,2020-05-15 13:25:37.152175+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5302,155,2020-05-15 13:25:37.152181+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5303,372,2020-05-15 13:25:37.152731+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5304,190,2020-05-15 13:25:37.153176+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5305,146,2020-05-15 13:25:37.156686+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5306,146,2020-05-15 13:25:37.156925+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5307,146,2020-05-15 13:25:37.157229+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5308,146,2020-05-15 13:25:37.160352+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5309,146,2020-05-15 13:25:37.165012+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5310,155,2020-05-15 13:25:37.186488+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5311,210,2020-05-15 13:25:37.207176+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5312,146,2020-05-15 13:25:37.207405+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5313,155,2020-05-15 13:25:37.207704+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5314,146,2020-05-15 13:25:37.208062+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5315,184,2020-05-15 13:25:37.208317+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5316,146,2020-05-15 13:25:37.215404+02:00,74:c6:3b:50:5f:b9,c4:ea:1d:e6:79:e8,Router2,Azurewave
5317,142,2020-05-15 13:25:37.227860+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5318,142,2020-05-15 13:25:37.229121+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5319,142,2020-05-15 13:25:37.232168+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5320,127,2020-05-15 13:25:37.233238+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5321,142,2020-05-15 13:25:37.233695+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5322,256,2020-05-15 13:25:37.234153+02:00,d4:f5:47:27:f9:8e,e4:ce:8f:62:3b:53,Desktop,Google_hub
5323,256,2020-05-15 13:25:37.234676+02:00,d4:f5:47:27:f9:8e,e4:ce:8f:62:3b:53,Desktop,Google_hub
5324,726,2020-05-15 13:25:37.235060+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5325,256,2020-05-15 13:25:37.235171+02:00,d4:f5:47:27:f9:8e,e4:ce:8f:62:3b:53,Desktop,Google_hub
5326,142,2020-05-15 13:25:37.236136+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
5327,256,2020-05-15 13:25:37.236802+02:00,e4:ce:8f:62:3b:53,d4:f5:47:27:f9:8e,Google_hub,Desktop
5328,142,2020-05-15 13:25:37.239703+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
5329,142,2020-05-15 13:25:37.239729+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
5330,127,2020-05-15 13:25:37.241120+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
5331,256,2020-05-15 13:25:37.245254+02:00,e4:ce:8f:62:3b:53,d4:f5:47:27:f9:8e,Google_hub,Desktop
5332,146,2020-05-15 13:25:37.245383+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5333,146,2020-05-15 13:25:37.245934+02:00,d4:f5:47:27:f9:8e,e4:ce:8f:62:3b:53,Desktop,Google_hub
5334,295,2020-05-15 13:25:37.248589+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
5335,165,2020-05-15 13:25:37.248688+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5336,49,2020-05-15 13:25:37.249373+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:4c:29:ae,Laptop,Router
5337,170,2020-05-15 13:25:37.249507+02:00,e4:ce:8f:4c:29:ae,c4:ea:1d:e6:79:e8,Router2,Laptop
5338,142,2020-05-15 13:25:37.254209+02:00,d4:f5:47:27:f9:8e,00:f6:20:f9:03:47,Google_speaker,Google_hub
5339,119,2020-05-15 13:25:37.255503+02:00,c4:ea:1d:e6:79:e8,e4:ce:8f:4c:29:ae,Laptop,Router2
5340,147,2020-05-15 13:25:37.256364+02:00,c4:ea:1d:e6:79:e8,e4:ce:8f:4c:29:ae,Laptop,Router2
5341,154,2020-05-15 13:25:37.259485+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5342,165,2020-05-15 13:25:37.267530+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5343,680,2020-05-15 13:25:37.274325+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5344,170,2020-05-15 13:25:37.284886+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5345,680,2020-05-15 13:25:37.285347+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5346,652,2020-05-15 13:25:37.288918+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5347,680,2020-05-15 13:25:37.289312+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5348,680,2020-05-15 13:25:37.292453+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5349,296,2020-05-15 13:25:37.292746+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5350,633,2020-05-15 13:25:37.293136+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5351,1472,2020-05-15 13:25:37.293678+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5352,1472,2020-05-15 13:25:37.294235+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5353,1472,2020-05-15 13:25:37.297056+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5354,146,2020-05-15 13:25:37.297342+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5355,146,2020-05-15 13:25:37.299989+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5356,147,2020-05-15 13:25:37.304385+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5357,55,2020-05-15 13:25:37.305048+02:00,c4:ea:1d:e6:79:e9,d4:f5:47:27:f9:8e,Google_hub,Router
5358,192,2020-05-15 13:25:37.312830+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5359,147,2020-05-15 13:25:37.314205+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
