,Length,AT,DA,SA,SRCE,DSTI
5447,245,2020-05-15 13:25:37.658743+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5448,49,2020-05-15 13:25:37.665329+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:4c:29:ae,Laptop,Router
5449,1472,2020-05-15 13:25:37.697791+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5450,1494,2020-05-15 13:25:37.698455+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5451,241,2020-05-15 13:25:37.701283+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5452,1490,2020-05-15 13:25:37.701751+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5453,622,2020-05-15 13:25:37.701918+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5454,1490,2020-05-15 13:25:37.702378+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5455,1490,2020-05-15 13:25:37.702837+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5456,1031,2020-05-15 13:25:37.703121+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
